Date (GMT-4),Action,Size,Market,Full market,Mark Price,Acceptable Price,Execution Price,Trigger Price,Price Impact,Transaction ID,PnL ($)
2025-05-01 10:45:03,Cancel Stop Loss,"-$9,645.87",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $92,800.00",,https://arbiscan.io/tx/0x5f450f60de41515adb4787cfe83f5046d2203a4cd8f68b1784e70af001e54dbf,
2025-05-01 10:45:03,Market Decrease,"-$9,645.87",Long BTC/USD,BTC/USD [BTC-USDC],"$96,427.30",">  $95,492.56","$96,439.44",,+$1.21,https://arbiscan.io/tx/0x5f450f60de41515adb4787cfe83f5046d2203a4cd8f68b1784e70af001e54dbf,-$9.82
2025-05-01 09:10:40,Market Increase,"+$9,645.87",Long BTC/USD,BTC/USD [BTC-USDC],"$96,456.39","<  $97,460.22","$96,492.98",,-$3.66,https://arbiscan.io/tx/0x2435a874f83c143dfdc39a70d935b879488580e78db4bced9471bf4072730f78,
2025-05-01 09:10:38,Create Stop Loss,"-$9,645.87",Long BTC/USD,BTC/USD [BTC-USDC],,,,"<  $92,800.00",,https://arbiscan.io/tx/0x9d9cee4a8decb4e37c62e08edfdd659819f831dd530620f828e72a833b9904ff,
2025-05-01 09:09:06,Market Decrease,"-$14,460.78",Short BTC/USD,BTC/USD [BTC-BTC],"$96,414.74","<  $97,376.32","$96,414.74",,< -$0.01,https://arbiscan.io/tx/0xb10d18a04191ea938b0b4d57f7a15646c8255cb3e03ee197b22be521a77cd208,-$10.11
2025-05-01 09:09:06,Cancel Stop Loss,"-$14,460.78",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $98,000.00",,https://arbiscan.io/tx/0xb10d18a04191ea938b0b4d57f7a15646c8255cb3e03ee197b22be521a77cd208,
2025-05-01 09:00:42,Market Increase,"+$14,460.78",Short BTC/USD,BTC/USD [BTC-BTC],"$96,405.59",">  $95,441.15","$96,405.59",,< +$0.01,https://arbiscan.io/tx/0xc8ad1a555c2baa0a5cb4cf785e9e9ea804500ec33421e1caa546b43ac37c20d5,
2025-05-01 09:00:40,Create Stop Loss,"-$14,460.78",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $98,000.00",,https://arbiscan.io/tx/0xf1faf7c7c35f6b5f085e849d780658711e74bd31229c5d69cb967ce54bc3965b,
2025-04-30 10:00:16,Execute Stop Loss,"-$12,370.64",Long BTC/USD,BTC/USD [BTC-BTC],"$92,986.59",,"$92,986.59",,< -$0.01,https://arbiscan.io/tx/0xc6039210d4d700784b8be5fea713b71085b5eb59a7c2ef374da37bbaa62bf366,-$353.84
2025-04-28 07:29:34,Market Increase,"+$12,370.64",Long BTC/USD,BTC/USD [BTC-BTC],"$95,525.10","<  $96,478.18","$95,525.11",,< -$0.01,https://arbiscan.io/tx/0x02a351583be7df62bd1f45284c780db09fdec56eaddf296ba64715ef3c251f55,
2025-04-28 07:29:31,Create Stop Loss,"-$12,370.64",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $93,000.00",,https://arbiscan.io/tx/0x64f8120580a11561bd75e4c3df418270487430d0421a80972b207e4719ccf6ba,
2025-04-25 11:02:51,Execute Stop Loss,"-$9,548.55",Long BTC/USD,BTC/USD [BTC-BTC],"$95,460.68",,"$95,460.68",,< -$0.01,https://arbiscan.io/tx/0x3be0488503ef1700b0e2fac6c96353cca08bdb4f1ae5ab78f8f06be4f47eaa80,-$6.09
2025-04-25 11:02:38,Update Stop Loss,"-$9,548.55",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $95,464.32",,https://arbiscan.io/tx/0x562720107a247c7dd4231fb125466df6c8e293636159b1c6e56e353ebb0253fa,
2025-04-25 10:48:19,Market Increase,"+$9,548.55",Long BTC/USD,BTC/USD [BTC-BTC],"$95,464.32","<  $96,440.36","$95,464.32",,< +$0.01,https://arbiscan.io/tx/0x4bb3bd895edbbfc00875a36718e16c0b63ed074e0b17088caecfdb8efd7c5dab,
2025-04-25 10:48:17,Create Stop Loss,"-$9,548.55",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $92,902.38",,https://arbiscan.io/tx/0x5dcb899382ec91d84a21b166f5dfea247aba8e11a6ca0848c37d34d0a3d793f3,
2025-04-22 09:58:17,Cancel Stop Loss,"-$8,916.95",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $88,634.00",,https://arbiscan.io/tx/0x1a54afd1be37d389075e07d363731d93f3ed1203c9d973a267a49c74ee8d492f,
2025-04-22 09:58:17,Market Decrease,"-$8,916.95",Long BTC/USD,BTC/USD [BTC-BTC],"$90,083.05",">  $89,205.34","$90,083.05",,< +$0.01,https://arbiscan.io/tx/0x1a54afd1be37d389075e07d363731d93f3ed1203c9d973a267a49c74ee8d492f,$88.29
2025-04-22 09:05:09,Market Increase,"+$8,916.95",Long BTC/USD,BTC/USD [BTC-BTC],"$89,164.42","<  $90,061.19","$89,164.43",,< +$0.01,https://arbiscan.io/tx/0x4147a05db2cfce3a6554807d9c668ebc2b0a6c8a44a4240532103b56378a6f0b,
2025-04-22 09:05:07,Create Stop Loss,"-$8,916.95",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $88,634.00",,https://arbiscan.io/tx/0x0a8fdf350fdd1cdbc065714c0d0f427e409b7fefdfedddec13b9e11cf99b7fa9,
2025-04-21 11:05:26,Market Decrease,"-$11,004.72",Long BTC/USD,BTC/USD [BTC-BTC],"$88,274.53",">  $87,385.93","$88,274.53",,< -$0.01,https://arbiscan.io/tx/0x374c6b39e1d656309ad3a94c401812af25eab2e165db18533c0a388a3b773498,$84.71
2025-04-21 11:05:26,Cancel Stop Loss,"-$11,004.72",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $86,000.00",,https://arbiscan.io/tx/0x374c6b39e1d656309ad3a94c401812af25eab2e165db18533c0a388a3b773498,
2025-04-21 05:48:31,Update Stop Loss,"-$11,004.72",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $86,000.00",,https://arbiscan.io/tx/0x2c283f8c2f7bfd784a721fa6341c88fd4e301a67e50c9af46aea36572806d86e,
2025-04-21 05:47:45,Market Increase,"+$11,004.72",Long BTC/USD,BTC/USD [BTC-BTC],"$87,460.49","<  $88,332.40","$87,460.50",,< -$0.01,https://arbiscan.io/tx/0x9f1bbfd1bba812fe12ff53f55f8962a32d3c6186659060955995923cd3b360a0,
2025-04-21 05:47:43,Create Stop Loss,"-$11,004.72",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $80,000.00",,https://arbiscan.io/tx/0x2277b6af930cd8cd2040f476cd72f302b034b13b55a5651486f80198133597f5,
2025-04-17 14:55:12,Market Decrease,"-$4,255.60",Long BTC/USD,BTC/USD [BTC-BTC],"$85,128.48",">  $84,289.97","$85,128.48",,< -$0.01,https://arbiscan.io/tx/0xb852a12e5632adc3a407a33335ca96dcca6c853133e65037b548e7e85f94f751,-$1.62
2025-04-17 14:55:12,Cancel Stop Loss,"-$4,255.60",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $83,288.00",,https://arbiscan.io/tx/0xb852a12e5632adc3a407a33335ca96dcca6c853133e65037b548e7e85f94f751,
2025-04-17 13:50:10,Market Increase,"+$4,255.60",Long BTC/USD,BTC/USD [BTC-BTC],"$85,109.26","<  $85,963.17","$85,109.29",,< -$0.01,https://arbiscan.io/tx/0xbb97eab3af612dae4dfbe631ec649d4db6d538ca5a7277edd8b94c40a7e17cf7,
2025-04-17 13:50:08,Create Stop Loss,"-$4,255.60",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $83,288.00",,https://arbiscan.io/tx/0x230c6fe8760047f1b26b16ab0216cb9e158125feebd55540ad362b3dd3937356,
2025-04-14 21:13:19,Cancel Take Profit,"-$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],,">  $88,696.11",,">  $88,963.00",,https://arbiscan.io/tx/0x2f02573ce34c88112b048eaffcce5bcc51f2141e0d306de54b740587a3183243,
2025-04-14 21:13:19,Market Decrease,"-$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],"$84,736.04",">  $83,901.61","$84,736.04",,< -$0.01,https://arbiscan.io/tx/0x2f02573ce34c88112b048eaffcce5bcc51f2141e0d306de54b740587a3183243,$24.09
2025-04-14 21:13:19,Cancel Stop Loss,"-$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,762.00",,https://arbiscan.io/tx/0x2f02573ce34c88112b048eaffcce5bcc51f2141e0d306de54b740587a3183243,
2025-04-14 12:36:22,Market Increase,"+$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],"$84,444.53","<  $85,310.29","$84,444.53",,< +$0.01,https://arbiscan.io/tx/0xd8448fcaa8425613b516b50ad49219884175d351d15cc11a193fb938afa9b331,
2025-04-14 12:36:20,Create Stop Loss,"-$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,762.00",,https://arbiscan.io/tx/0x8c021e904a17a979f08016e300a4776ad0e090952e2af4787c27ed39db673aa6,
2025-04-14 12:36:20,Create Take Profit,"-$8,446.56",Long BTC/USD,BTC/USD [BTC-BTC],,">  $88,696.11",,">  $88,963.00",,https://arbiscan.io/tx/0x8c021e904a17a979f08016e300a4776ad0e090952e2af4787c27ed39db673aa6,
2025-04-06 17:08:31,Cancel Stop Loss,"-$8,273.22",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $88,489.00",,https://arbiscan.io/tx/0x3c96e53e15ec6e5aebbff143922cb2b8aff2a1719189f74d4c2bba686dd73106,
2025-04-06 17:08:31,Market Decrease,"-$8,273.22",Short BTC/USD,BTC/USD [BTC-BTC],"$78,992.13","<  $79,767.46","$78,992.13",,< +$0.01,https://arbiscan.io/tx/0x3c96e53e15ec6e5aebbff143922cb2b8aff2a1719189f74d4c2bba686dd73106,$342.09
2025-04-02 20:13:18,Market Increase,"+$8,273.22",Short BTC/USD,BTC/USD [BTC-BTC],"$82,760.43",">  $81,904.92","$82,760.42",,< -$0.01,https://arbiscan.io/tx/0x8fe237e2d399930efa389171143be278f5641f596c97fc9119601aead81b5af2,
2025-04-02 20:13:16,Create Stop Loss,"-$8,273.22",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $88,489.00",,https://arbiscan.io/tx/0xed07cb9f096ef42c8e2189e7818fc29d7ce03eb9eceb7eb9f2bc840ba94a151b,
2025-03-15 14:37:56,Cancel Stop Loss,"-$50,772.92",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $86,186.00",,https://arbiscan.io/tx/0xb2711fab76335fee9570c5e46c41ba0d1823f2d2020db8f336952c2c5e5317b1,
2025-03-15 14:37:56,Market Decrease,"-$50,772.92",Short BTC/USD,BTC/USD [BTC-BTC],"$84,302.18","<  $85,145.31","$84,302.18",,< -$0.01,https://arbiscan.io/tx/0xb2711fab76335fee9570c5e46c41ba0d1823f2d2020db8f336952c2c5e5317b1,$124.13
2025-03-15 14:37:56,Cancel Take Profit,"-$50,772.92",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $83,749.50",,"<  $83,499.00",,https://arbiscan.io/tx/0xb2711fab76335fee9570c5e46c41ba0d1823f2d2020db8f336952c2c5e5317b1,
2025-03-14 15:38:24,Market Increase,"+$16,936.49",Short BTC/USD,BTC/USD [BTC-BTC],"$84,680.16",">  $83,835.63","$84,680.16",,< -$0.01,https://arbiscan.io/tx/0x192fb787d9c1ae350107665ca4024e8497517b9ea38450faf5fda65aa8be5b25,
2025-03-14 15:38:22,Update Take Profit,"-$50,772.92",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $83,749.50",,"<  $83,499.00",,https://arbiscan.io/tx/0x96172f59bcea7dcbfc0d26cfde3dd8c149b3cb36799ca68fb1e101df245a9abc,
2025-03-14 15:38:22,Update Stop Loss,"-$50,772.92",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $86,186.00",,https://arbiscan.io/tx/0x96172f59bcea7dcbfc0d26cfde3dd8c149b3cb36799ca68fb1e101df245a9abc,
2025-03-14 15:37:09,Withdraw,0.0055004 BTC,Short BTC/USD,BTC/USD [BTC-BTC],"$84,638.27","<  $85,446.07","$84,638.27",,$0.00,https://arbiscan.io/tx/0x72da7d61361d0b32493286dcde01181b2164b4f45d457b290dba6654187c2a9a,
2025-03-14 13:22:42,Update Take Profit,"-$33,836.43",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $83,749.50",,"<  $83,499.00",,https://arbiscan.io/tx/0xb3ff18044180b3e59889ad3ec01def5be9f9545bd3f2633d4566bf0d58db691b,
2025-03-14 13:22:14,Create Take Profit,"-$33,836.43",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $84,652.20",,"<  $84,399.00",,https://arbiscan.io/tx/0xab2ef4af6defa1e2b67d2237e2a2b04a66771fcfb02cf1372f05c4f54195ae58,
2025-03-14 13:08:55,Market Increase,"+$8,474.35",Short BTC/USD,BTC/USD [BTC-BTC],"$84,729.72",">  $83,896.07","$84,729.71",,< -$0.01,https://arbiscan.io/tx/0xbf5c8e1d5f2fa2a9c38101bf63113be204256d1033e869e228a5b146f874e2c4,
2025-03-14 13:08:53,Update Stop Loss,"-$33,836.43",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $86,186.00",,https://arbiscan.io/tx/0x174ceea8c6b80fd2e5da03d168f4825618113bce992818e2fccc76cbb7df4f2c,
2025-03-14 13:06:16,Withdraw,0.0055502 BTC,Short BTC/USD,BTC/USD [BTC-BTC],"$84,587.72","<  $85,433.40","$84,587.72",,$0.00,https://arbiscan.io/tx/0xe43a35190f2c2016288b0f7115840e6e9f8d1976a46d0e0a50b3f34039a694ae,
2025-03-14 12:53:54,Market Decrease,"-$25,362.08",Short BTC/USD,BTC/USD [BTC-BTC],"$84,790.36","<  $85,587.30","$84,790.36",,< +$0.01,https://arbiscan.io/tx/0x7eb715cd9de538f09296345af68e9902da517ef928b9ada815de8bbb2e0ed5f2,-$86.06
2025-03-14 12:32:20,Market Increase,"+$25,241.87",Short BTC/USD,BTC/USD [BTC-BTC],"$84,153.45",">  $83,298.18","$84,153.44",,< -$0.01,https://arbiscan.io/tx/0x064b88b27e809ada9eabc910b122143a20e9ec5a8ddf2e9ca71990e1456a4943,
2025-03-14 12:32:18,Update Stop Loss,"-$50,724.16",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $86,186.00",,https://arbiscan.io/tx/0x97052a6d278dcc0a3cd163e04832839ff1f7ea4f53fc51c47ec988152954cd85,
2025-03-14 12:28:32,Withdraw,0.0056695 BTC,Short BTC/USD,BTC/USD [BTC-BTC],"$84,418.96","<  $85,265.25","$84,418.96",,$0.00,https://arbiscan.io/tx/0xa91ce3637575f40405c326ba1d8b0195658aad9f8307d1fe5559b3080d662677,
2025-03-14 11:46:18,Market Increase,"+$25,482.29",Short BTC/USD,BTC/USD [BTC-BTC],"$84,921.70",">  $84,091.56","$84,921.69",,< -$0.01,https://arbiscan.io/tx/0xc1905c8562cf005b8197d07e007ce5e69b60b03663bd6f943acd83b3db70b0f9,
2025-03-14 11:46:16,Create Stop Loss,"-$25,482.29",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $86,186.00",,https://arbiscan.io/tx/0x0d8edbef84b28bbee43f244ad8c75abf41d85c66f4aa6099a958f9ea6e522957,
2025-03-14 11:36:03,Cancel Take Profit,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $81,262.05",,"<  $81,018.99",,https://arbiscan.io/tx/0x969e26aff5e54340fb390edd349f488dfdc33ef52c858c2df7323c243c21d66f,
2025-03-14 11:36:03,Market Decrease,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],"$85,168.63","<  $86,037.16","$85,168.63",,< +$0.01,https://arbiscan.io/tx/0x969e26aff5e54340fb390edd349f488dfdc33ef52c858c2df7323c243c21d66f,-$430.30
2025-03-14 11:34:08,Cancel Stop Loss,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $85,187.26",,https://arbiscan.io/tx/0x1da131b0cbfe3824bbd74980d80f414e033482954de6964111d0767e0bff235b,
2025-03-14 11:11:55,Update Stop Loss,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $85,187.26",,https://arbiscan.io/tx/0xe88b73ba97d231e1b5627f8678b4be10f7c5738e2f8ef137e425d98dc7d3cc79,
2025-03-14 10:18:19,Market Increase,"+$8,280.73",Short BTC/USD,BTC/USD [BTC-BTC],"$82,791.75",">  $81,979.24","$82,791.74",,< -$0.01,https://arbiscan.io/tx/0x12b88808454361dc47d691fb5056bd66ca531ffa76d52d2525cf11c0a6f40887,
2025-03-14 10:18:17,Update Stop Loss,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $84,748.00",,https://arbiscan.io/tx/0x8aa63acfcdb3060eac96fe6606a5105a27bbdb97a2533ff040cbb1b8743b621c,
2025-03-14 10:18:17,Update Take Profit,"-$16,610.87",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $81,262.05",,"<  $81,018.99",,https://arbiscan.io/tx/0x8aa63acfcdb3060eac96fe6606a5105a27bbdb97a2533ff040cbb1b8743b621c,
2025-03-14 08:50:45,Create Take Profit,"-$8,330.14",Short BTC/USD,BTC/USD [BTC-BTC],,"<  $81,262.05",,"<  $81,018.99",,https://arbiscan.io/tx/0xf6b14f9219906b0ba9a9f7c16abcf4ca802885d38e26ff3e9e93d89c9976cd4a,
2025-03-14 08:46:50,Market Increase,"+$8,330.14",Short BTC/USD,BTC/USD [BTC-BTC],"$83,310.39",">  $82,468.34","$83,310.38",,< -$0.01,https://arbiscan.io/tx/0x017c9cc5c1ea955f1f0b8cabb9bca487028e17673fc3b77281262694b7368149,
2025-03-14 08:46:48,Create Stop Loss,"-$8,330.14",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $84,748.00",,https://arbiscan.io/tx/0xf6f9a814146bd8add47da8a5f447d4b5bd88bdc07506c70b8f73dda83330dea3,
2025-03-13 18:44:06,Execute Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],"$81,102.94",,"$81,102.94",,< +$0.01,https://arbiscan.io/tx/0x043249a2a52d360a128ac02bc2ba2ea1cb7c55557a1296990d1a0d73f981b82e,$277.43
2025-03-13 14:02:29,Update Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $81,090.87",,https://arbiscan.io/tx/0x7cb2e8de098403ecf37b1073775780adcfa593e1272ae33a1f4a78c693d2c73d,
2025-03-13 13:30:49,Update Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $81,737.69",,https://arbiscan.io/tx/0xb47904431b6dfbaca459192fde75471ebb32ab566862253481c5aee0f099b2c9,
2025-03-13 12:31:18,Update Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $81,950.50",,https://arbiscan.io/tx/0x30b8158dae5c50cdac4039a5f0e65f1a6f140e32ab89ae342b80c0042453b4ea,
2025-03-13 12:05:50,Update Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $82,360.58",,https://arbiscan.io/tx/0xd5567412f36b3a809bae88e2dc2cd5bf96cb5b507ed3909e534a7b3cb9a63aac,
2025-03-13 11:17:41,Update Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $82,871.17",,https://arbiscan.io/tx/0x2663c793455fcdd396829c624b3cd23b969fbeb68fb1448a5584d2b44305ba76,
2025-03-13 09:47:10,Market Increase,"+$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],"$82,186.63",">  $81,418.77","$82,186.63",,< +$0.01,https://arbiscan.io/tx/0xb9684ec7ce2a801b1e53c4fa51c681fa5dcd49503d5425b8ab992c7f9d6d86c2,
2025-03-13 09:47:09,Create Stop Loss,"-$21,763.93",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $83,460.80",,https://arbiscan.io/tx/0xba03ef2a8ea42c907111bf56ad48daa2e24c45fce04acb17397bd43af22c6ef8,
2025-03-13 09:46:34,Cancel Stop Loss,"-$43,678.81",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $83,460.80",,https://arbiscan.io/tx/0x66fe01e1bf8976a8bbefdfc57ff4aa27d1501b9cfeae035ac4e1ed8c5505bb0a,
2025-03-13 09:46:34,Cancel Limit,"+$43,678.81",Short BTC/USD,BTC/USD [BTC-BTC],,">  $82,642.80",,">  $82,891.47",,https://arbiscan.io/tx/0x66fe01e1bf8976a8bbefdfc57ff4aa27d1501b9cfeae035ac4e1ed8c5505bb0a,
2025-03-13 09:45:38,Create Limit,"+$43,678.81",Short BTC/USD,BTC/USD [BTC-BTC],,">  $82,642.80",,">  $82,891.47",,https://arbiscan.io/tx/0xa14e7021d732b5e2b73271f88a8bc42ade7ab70ed2b08abcc85ef5de889791cc,
2025-03-13 09:45:38,Create Stop Loss,"-$43,678.81",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $83,460.80",,https://arbiscan.io/tx/0xa14e7021d732b5e2b73271f88a8bc42ade7ab70ed2b08abcc85ef5de889791cc,
2025-03-13 01:38:32,Execute Stop Loss,"-$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],"$83,139.82",,"$83,139.82",,< +$0.01,https://arbiscan.io/tx/0x0aceec6bf72cde32eab6cefe685baddc8630dc7809422c629a5dbe6d74b5e179,$40.27
2025-03-12 20:01:18,Update Stop Loss,"-$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $83,140.97",,https://arbiscan.io/tx/0xec36ff52710eac81164d58e87ef5d04d359437193c73af0766e1157a6e6d2e54,
2025-03-12 18:54:17,Update Stop Loss,"-$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,818.00",,https://arbiscan.io/tx/0x7449b2795ae807fa9749efdc6571d4e22be8fba34b7e67ab869cf5efcba883ec,
2025-03-12 16:34:26,Update Stop Loss,"-$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,072.01",,https://arbiscan.io/tx/0xf0987e62792d7d65a78405d3e876bb76a84e4113fe956d342002fb4458c810d6,
2025-03-12 15:14:09,Market Increase,"+$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],"$82,900.28","<  $83,700.44","$82,900.28",,< +$0.01,https://arbiscan.io/tx/0xa2ca66774534d228ec6b0c6839d75148cbc638faa6257f73154ed4ec48cc9184,
2025-03-12 15:14:07,Create Stop Loss,"-$17,620.13",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $81,447.74",,https://arbiscan.io/tx/0x9faea3defa49635918ba21c0b31c6b6841ef9dd77571dd2fbb749b128bae2361,
2025-03-12 15:11:55,Execute Stop Loss,"-$41,720.23",Short BTC/USD,BTC/USD [BTC-BTC],"$82,830.80",,"$82,830.80",,< +$0.01,https://arbiscan.io/tx/0x459a2eb3b52fbf54ab3895fa0517c7d4f4c9dbed43d4f2c47fa02920b8be1810,-$310.68
2025-03-12 14:13:19,Execute Limit,"+$41,720.23",Short BTC/USD,BTC/USD [BTC-BTC],"$82,259.81",">  $81,974.37","$82,259.81",,< -$0.01,https://arbiscan.io/tx/0x3444712ff39c397a08dfb5877d9f8ee9a8bbfd08190325975b681b9a07f2ec0d,
2025-03-12 14:12:47,Create Stop Loss,"-$41,720.23",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $82,828.88",,https://arbiscan.io/tx/0xe79bbf8c48514102f2e9e514de0beba4899bb224c8445944752084c6c769de6b,
2025-03-12 14:12:47,Create Limit,"+$41,720.23",Short BTC/USD,BTC/USD [BTC-BTC],,">  $81,974.37",,">  $82,237.53",,https://arbiscan.io/tx/0xe79bbf8c48514102f2e9e514de0beba4899bb224c8445944752084c6c769de6b,
2025-03-12 13:22:45,Execute Stop Loss,"-$12,342.64",Short BTC/USD,BTC/USD [BTC-BTC],"$82,833.71",,"$82,833.71",,< +$0.01,https://arbiscan.io/tx/0xca7bffe16319317b2f9421e046c2aad26fa12e4698aacb0e926bcabb1f41d49f,-$48.83
2025-03-12 11:32:43,Update Stop Loss,"-$12,342.64",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $82,828.88",,https://arbiscan.io/tx/0x93395bc1b1823b72c10bd33ea04c2cf2f34173033512416899afee5513596a2e,
2025-03-12 09:58:50,Market Increase,"+$12,342.64",Short BTC/USD,BTC/USD [BTC-BTC],"$82,570.67",">  $81,844.78","$82,570.66",,< -$0.01,https://arbiscan.io/tx/0x5b1e9f4f4c02dcd8618e201e419727e8d21207b123131edc5ae5364f2a14fcd5,
2025-03-12 09:58:48,Create Stop Loss,"-$12,342.64",Short BTC/USD,BTC/USD [BTC-BTC],,,,">  $84,576.43",,https://arbiscan.io/tx/0x3384c85b4f30f106fe7c32432c2ac285b74de785c2bc6151fdf6e6391ceab9ba,
2025-03-11 21:58:57,Market Decrease,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],"$83,253.48",">  $82,438.48","$83,253.48",,< -$0.01,https://arbiscan.io/tx/0xbec071f40c035563b1cf4168288783624486e945c974b707adcdfabde3f1964c,$188.45
2025-03-11 21:58:57,Cancel Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,566.00",,https://arbiscan.io/tx/0xbec071f40c035563b1cf4168288783624486e945c974b707adcdfabde3f1964c,
2025-03-11 21:48:16,Update Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $82,566.00",,https://arbiscan.io/tx/0x5c1118ac4033957f208dc7aa484e6c83d313af8f71d2e7db6a33e487f03fbeb3,
2025-03-11 16:48:15,Update Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $81,914.22",,https://arbiscan.io/tx/0x314c2f2cf2d31f7e8b3e40bea3dd3aae760cc14b070e9129bbac9bdc377aadec,
2025-03-11 16:02:19,Update Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $81,647.57",,https://arbiscan.io/tx/0x7071ca8aa509da19d0bd1ca12a8679a66a3177c2276ba475b065414f4d05e037,
2025-03-11 14:30:42,Update Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $80,842.79",,https://arbiscan.io/tx/0x7f7e43eb92e78966bbcbc3204ad15c282d84445f52536b31eaa29c8f6b709eef,
2025-03-11 14:09:01,Execute Limit,"+$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],"$81,918.73","<  $82,165.60","$81,918.74",,< -$0.01,https://arbiscan.io/tx/0x3d4b039a9432176d66f0cdc90face27259d7775769ce1d933de6eade093532ae,
2025-03-11 14:08:39,Create Limit,"+$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,"<  $82,165.60",,"<  $81,919.84",,https://arbiscan.io/tx/0xb0520385d56ae94a524e0237a82c2f1801849ab9edeee64bf2fbbcc6926b9ac3,
2025-03-11 14:08:39,Create Stop Loss,"-$12,184.33",Long BTC/USD,BTC/USD [BTC-BTC],,,,"<  $79,902.83",,https://arbiscan.io/tx/0xb0520385d56ae94a524e0237a82c2f1801849ab9edeee64bf2fbbcc6926b9ac3,
